Year,ICD_10,Sex,Race,Age_Group,Deaths,Population,Crude Rate,CI_Lower_95,CI_Upper_95,is_recent_release
1999,C22,,,,27826.0,837120504.0,4.99,,,0
1999,C22,,2106-3,,22720.0,686063370.0,4.97,,,0
1999,C22,M,,,16822.0,410408619.0,6.15,,,0
1999,C22,F,,,11004.0,426711885.0,3.87,,,0
1999,C22,,,75-84,7926.0,36674742.0,32.42,,,0
1999,C22,,,65-74,7748.0,55256727.0,21.03,,,0
1999,C22,,,55-64,4526.0,71334078.0,9.52,,,0
1999,C22,,2054-5,,3224.0,108519363.0,4.46,,,0
1999,C22,,,85+,3198.0,12462054.0,38.49,,,0
1999,C22,,,45-54,3144.0,109733457.0,4.3,,,0
1999,K76,,,,2793.0,279040168.0,1,,,0
1999,K76,,2106-3,,2319.0,228687790.0,1.01,,,0
1999,C22,,A-PI,,1714.0,34039488.0,7.55,,,0
1999,K76,M,,,1693.0,136802873.0,1.24,,,0
1999,K76,F,,,1100.0,142237295.0,0.77,,,0
1999,C22,,,35-44,942.0,135230031.0,1.04,,,0
1999,K76,,,45-54,637.0,36577819.0,1.74,,,0
1999,K76,,,65-74,560.0,18418909.0,3.04,,,0
1999,K76,,,55-64,549.0,23778026.0,2.31,,,0
1999,K75,,,,496.0,279040168.0,0.18,,,0
1999,K75,,2106-3,,401.0,228687790.0,0.18,,,0
1999,K76,,2054-5,,401.0,36173121.0,1.11,,,0
1999,K76,,,75-84,388.0,12224914.0,3.17,,,0
1999,K76,,,35-44,343.0,45076677.0,0.76,,,0
1999,K75,M,,,249.0,136802873.0,0.18,,,0
1999,K75,F,,,247.0,142237295.0,0.17,,,0
1999,K76,,,85+,182.0,4154018.0,4.38,,,0
1999,C22,,1002-5,,160.0,8498283.0,2.97,,,0
1999,C22,,,25-34,157.0,120535218.0,0.2,,,0
1999,K75,,,65-74,113.0,18418909.0,0.61,,,0
1999,K75,,,75-84,111.0,12224914.0,0.91,,,0
1999,C22,,,15-24,87.0,116028093.0,0.11,,,0
1999,K75,,,45-54,83.0,36577819.0,0.23,,,0
1999,K76,,,25-34,72.0,40178406.0,0.18,,,0
1999,K75,,2054-5,,69.0,36173121.0,0.19,,,0
1999,K75,,,85+,64.0,4154018.0,1.54,,,0
1999,C22,,,4-Jan,58.0,30679564.0,0.19,,,0
1999,K75,,,55-64,58.0,23778026.0,0.24,,,0
1999,K75,,,35-44,45.0,45076677.0,0.1,,,0
1999,K76,,1002-5,,39.0,2832761.0,1.38,,,0
1999,K76,,A-PI,,34.0,11346496.0,0.30,,,0
1999,K76,,,1,25.0,3795762.0,0.66,,,0
1999,C22,,,14-May,22.0,81639648.0,Unreliable,,,0
1999,K75,,A-PI,,22.0,11346496.0,0.19,,,0
1999,K76,,,15-24,19.0,38676031.0,Unreliable,,,0
1999,K75,,,25-34,10.0,40178406.0,Unreliable,,,0
1999,C22,,,1,0.0,7591524.0,Suppressed,,,0
1999,K75,,,1,0.0,3795762.0,Suppressed,,,0
1999,K75,,,14-May,0.0,40819824.0,Suppressed,,,0
1999,K75,,,15-24,0.0,38676031.0,Suppressed,,,0
1999,K75,,1002-5,,0.0,2832761.0,Suppressed,,,0
1999,K76,,,14-May,0.0,40819824.0,Suppressed,,,0
1999,K76,,,4-Jan,0.0,15339782.0,Suppressed,,,0
1999,K76,,,NS,0.0,0.0,Not Applicable,,,0
2000,C22,,,,29266.0,844265718.0,5.2,,,0
2000,C22,,2106-3,,23752.0,690257286.0,5.16,,,0
2000,C22,M,,,17968.0,414160689.0,6.51,,,0
2000,C22,F,,,11298.0,430105029.0,3.94,,,0
2000,C22,,,75-84,8318.0,37083540.0,33.65,,,0
2000,C22,,,65-74,7754.0,55172958.0,21.08,,,0
